mode_index,real_part,imag_part,freq_hz,damping_ratio,stability
49,-5.994630332553848e-13,0.0,0.0,1.0,zero
50,-0.037121517160124615,0.030390689510514598,0.004836828459569412,0.7737678743421025,stable
51,-0.037121517160124615,-0.030390689510514598,0.004836828459569412,0.7737678743421025,stable
39,-0.05458153516717249,1.6237094604436206,0.2584213867746765,0.033596357165196954,stable
40,-0.05458153516717249,-1.6237094604436206,0.2584213867746765,0.033596357165196954,stable
54,-0.060742879779470946,0.039369389214101415,0.006265832899932989,0.8391592654934023,stable
55,-0.060742879779470946,-0.039369389214101415,0.006265832899932989,0.8391592654934023,stable
56,-0.06656447273364097,0.0505784301422544,0.008049807170967904,0.7962230944560071,stable
57,-0.06656447273364097,-0.0505784301422544,0.008049807170967904,0.7962230944560071,stable
37,-0.06889523309422532,1.774843953292303,0.28247518838323105,0.03878841607369366,stable
38,-0.06889523309422532,-1.774843953292303,0.28247518838323105,0.03878841607369366,stable
35,-0.07263230759699799,1.848802424397832,0.2942460446431951,0.03925585614851186,stable
